STRUCTURE,STRUCTURE_ID,freq,unit,tra_meas,rep_airp,schedule,tra_cov,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBBR,TOT,INTL,2018,12860666,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBBR,TOT,INTL,2019,13216087,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBBR,TOT,INTL,2020,3413631,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBBR,TOT,INTL,2021,4668891,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBBR,TOT,INTL,2022,9479687,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBBR,TOT,NAT,2017,2289,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBBR,TOT,NAT,2018,2335,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBBR,TOT,NAT,2019,1030,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBBR,TOT,NAT,2020,109,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBBR,TOT,NAT,2021,416,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBBR,TOT,NAT,2022,1075,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBCI,TOT,INTL,2017,3844870,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBCI,TOT,INTL,2018,4013831,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBCI,TOT,INTL,2019,4095329,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBCI,TOT,INTL,2020,1284351,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBCI,TOT,INTL,2021,1873658,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBCI,TOT,INTL,2022,4155547,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBCI,TOT,NAT,2017,336,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBCI,TOT,NAT,2018,2,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBCI,TOT,NAT,2019,605,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBCI,TOT,NAT,2020,0,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBCI,TOT,NAT,2021,1,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBCI,TOT,NAT,2022,0,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBLG,TOT,INTL,2017,92345,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBLG,TOT,INTL,2018,81091,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBLG,TOT,INTL,2019,70011,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBLG,TOT,INTL,2020,21597,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBLG,TOT,INTL,2021,35449,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBLG,TOT,INTL,2022,78843,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBLG,TOT,NAT,2017,0,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBLG,TOT,NAT,2018,16,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBLG,TOT,NAT,2019,0,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBLG,TOT,NAT,2020,43,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBLG,TOT,NAT,2021,0,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBLG,TOT,NAT,2022,0,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBOS,TOT,INTL,2017,174471,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBOS,TOT,INTL,2018,198929,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBOS,TOT,INTL,2019,217965,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBOS,TOT,INTL,2020,51489,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBOS,TOT,INTL,2021,102195,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBOS,TOT,INTL,2022,176552,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBOS,TOT,NAT,2017,846,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBOS,TOT,NAT,2018,898,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBOS,TOT,NAT,2019,946,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBOS,TOT,NAT,2020,586,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBOS,TOT,NAT,2021,902,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BE_EBOS,TOT,NAT,2022,1503,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBBG,TOT,INTL,2017,1466003,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBBG,TOT,INTL,2018,1618784,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBBG,TOT,INTL,2019,1417737,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBBG,TOT,INTL,2020,203176,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBBG,TOT,INTL,2021,468147,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBBG,TOT,INTL,2022,806193,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBBG,TOT,NAT,2017,20866,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBBG,TOT,NAT,2018,15137,
